model_short,benchmark_rule,public_history_margin_mid,original_is_stag,n_cells,original_is_stag_low,original_is_stag_high
llama-3.1-8b,Carryover,-0.3,0.40277777777777773,12,0.16631944444444446,0.6527777777777778
llama-3.1-8b,Carryover,-0.2,0.4666666666666667,13,0.21794871794871795,0.7102564102564103
llama-3.1-8b,Carryover,-0.1,0.49754901960784315,17,0.30977941176470597,0.6657107843137255
llama-3.1-8b,Carryover,0.0,0.6843750000000001,24,0.5208072916666667,0.8386718749999998
llama-3.1-8b,Carryover,0.1,0.7929824561403509,19,0.6139473684210527,0.9368421052631579
llama-3.1-8b,Carryover,0.2,0.6485632183908046,29,0.503433908045977,0.7894037356321838
llama-3.1-8b,Carryover,0.3,0.6946280991735537,33,0.5615449954086317,0.8246258034894398
llama-3.1-8b,Carryover,0.4,0.6746240601503759,19,0.4790225563909774,0.8579182330827068
llama-3.1-8b,Carryover,0.5,0.8079931972789115,28,0.7141964285714286,0.8946641156462584
llama-3.1-8b,Carryover,0.6000000000000001,0.9047619047619048,14,0.8214285714285713,1.0
llama-3.1-8b,Carryover,0.7,0.9743589743589743,13,0.9230769230769229,1.0
llama-3.1-8b,Carryover,0.8,0.7777777777777778,9,0.5555555555555556,0.9458333333333321
llama-3.1-8b,Naive aggregate,-0.7005,0.5666666666666667,5,0.2333333333333333,0.9
llama-3.1-8b,Naive aggregate,-0.6000000000000001,0.5075757575757576,11,0.2803030303030303,0.7577651515151512
llama-3.1-8b,Naive aggregate,-0.4,0.29166666666666663,8,0.0625,0.5625
llama-3.1-8b,Naive aggregate,-0.3,0.6388888888888888,9,0.3611111111111111,0.8888888888888888
llama-3.1-8b,Naive aggregate,-0.2,0.7261904761904762,7,0.42857142857142855,0.9523809523809523
llama-3.1-8b,Naive aggregate,-0.1,0.5863095238095238,14,0.3540922619047619,0.8095982142857141
llama-3.1-8b,Naive aggregate,0.0,0.5489718614718615,14,0.35635416666666664,0.744672619047619
llama-3.1-8b,Naive aggregate,0.1,0.8240740740740741,12,0.6574074074074074,0.9814814814814815
llama-3.1-8b,Naive aggregate,0.2,0.5555555555555556,9,0.2222222222222222,0.8333333333333334
llama-3.1-8b,Naive aggregate,0.3,0.6944444444444444,21,0.5156746031746031,0.8532738095238093
llama-3.1-8b,Naive aggregate,0.4,0.7333333333333333,5,0.3333333333333333,1.0
llama-3.1-8b,Naive aggregate,0.5,0.7462962962962963,18,0.579537037037037,0.8852777777777777
llama-3.1-8b,Naive aggregate,0.6000000000000001,0.7756410256410257,13,0.5833333333333333,0.9230769230769231
llama-3.1-8b,Naive aggregate,0.7,0.75,6,0.4166666666666667,1.0
llama-3.1-8b,Naive aggregate,0.8,0.8333333333333334,9,0.6111111111111112,1.0
llama-3.1-8b,Naive aggregate,1.0,0.8552197802197803,14,0.690885989010989,0.9747252747252747
llama-3.1-8b,Trust-weighted,-0.4,0.4555555555555555,9,0.17750000000000002,0.7561111111111107
llama-3.1-8b,Trust-weighted,-0.3,0.4743589743589744,13,0.23076923076923078,0.7179487179487178
llama-3.1-8b,Trust-weighted,-0.2,0.4906462585034013,14,0.2717687074829932,0.7003146258503402
llama-3.1-8b,Trust-weighted,-0.1,0.5284391534391535,18,0.3478835978835979,0.6990740740740741
llama-3.1-8b,Trust-weighted,0.0,0.6968599033816425,23,0.5156702898550725,0.8514794685990337
llama-3.1-8b,Trust-weighted,0.1,0.8803921568627451,17,0.7607843137254902,0.9705882352941176
llama-3.1-8b,Trust-weighted,0.2,0.66,30,0.49663888888888885,0.8044722222222221
llama-3.1-8b,Trust-weighted,0.3,0.6931372549019608,34,0.5582843137254903,0.8382352941176471
llama-3.1-8b,Trust-weighted,0.4,0.6666666666666667,20,0.4916666666666667,0.8166666666666668
llama-3.1-8b,Trust-weighted,0.5,0.8045977011494252,29,0.7011494252873562,0.9022988505747126
llama-3.1-8b,Trust-weighted,0.6000000000000001,0.9202380952380952,14,0.8142857142857143,1.0
llama-3.1-8b,Trust-weighted,0.7,0.9743589743589743,13,0.9230769230769229,1.0
llama-3.1-8b,Trust-weighted,0.8,0.7142857142857143,7,0.42857142857142855,0.9285714285714286
